id,source,img_path,0,1,2,3,4,5
54,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0855.png, Yes , No , No , Yes , No , No 
55,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0856.png, Yes , No , No , No , No , No 
56,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0857.png, Yes , No , No , Yes , Yes , No 
57,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0858.png, Yes , No , No , Yes , No , No 
58,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0859.png, Yes , No , No , Yes , No , No 
59,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0860.png, Yes , No , No , No , No , No 
60,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0861.png, Yes , No , No , No , No , No 
61,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0862.png, Yes , No , No , Yes , No , No 
62,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0863.png, Yes , No , No , Yes , No , No 
63,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0864.png, Yes , No , No , No , No , No 
64,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0865.png, Yes , No , No , No , No , No 
65,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0866.png, Yes , No , No , Yes , No , No 
66,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0867.png, Yes , No , No , Yes , No , No 
67,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0868.png, Yes , No , No , No , No , No 
68,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0869.png, Yes , No , No , No , No , No 
69,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0870.png, Yes , No , No , Yes , No , No 
70,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0871.png, Yes , No , No , No , No , No 
71,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0872.png, Yes , No , No , Yes , Yes , No 
72,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0873.png, Yes , No , No , No , No , No 
73,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0874.png, Yes , No , No , No , No , No 
74,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0875.png, Yes , No , Yes , No , No , No 
75,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0876.png, Yes , No , No , No , No , No 
76,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0877.png, Yes , No , No , Yes , Yes , No 
77,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0878.png, Yes , No , No , Yes , No , No 
78,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0879.png, Yes , No , No , No , No , No 
79,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0880.png, Yes , No , No , Yes , No , No 
80,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0881.png, Yes , No , No , No , No , No 
81,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0882.png, Yes , No , No , Yes , Yes , No 
82,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0883.png, Yes , No , No , No , No , No 
83,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0884.png, Yes , No , Yes , No , No , No 
84,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0885.png, Yes , No , No , Yes , No , No 
85,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0886.png, Yes , No , No , Yes , No , No 
86,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0887.png, Yes , No , No , No , No , No 
87,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0888.png, Yes , No , No , Yes , No , No 
88,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0889.png, Yes , No , Yes , Yes , No , No 
89,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0890.png, Yes , No , No , No , No , No 
90,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0891.png, Yes , No , No , No , No , No 
91,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0892.png, Yes , Yes , No , Yes , No , No 
92,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0893.png, Yes , No , No , No , No , No 
93,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0894.png, Yes , No , No , No , No , No 
94,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0895.png, Yes , No , No , Yes , No , No 
95,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0896.png, Yes , No , No , No , No , No 
96,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0897.png, Yes , No , No , No , No , No 
97,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0898.png, Yes , No , No , Yes , No , No 
98,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0899.png, Yes , No , No , No , No , No 
99,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0900.png, Yes , No , No , No , No , No 
100,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000001.png, Yes , No , No , No , No , No 
101,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000002.png, Yes , No , No , No , No , No 
102,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000003.png, Yes , No , No , No , No , No 
103,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000004.png, Yes , No , No , No , No , No 
104,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000005.png, Yes , No , No , No , No , No 
105,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000006.png, Yes , No , No , No , No , No 
106,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000007.png, Yes , No , No , No , No , No 
107,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000008.png, Yes , No , No , Yes , No , No 
108,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000009.png, Yes , No , No , No , No , No 
109,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000010.png, Yes , No , No , No , No , No 
110,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000011.png, Yes , No , No , No , No , No 
111,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000012.png, Yes , No , No , Yes , Yes , No 
112,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000013.png, Yes , No , No , No , No , No 
113,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000014.png, Yes , No , No , No , No , No 
114,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000015.png, Yes , No , No , No , No , No 
115,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000016.png, Yes , No , No , Yes , No , No 
116,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000017.png, Yes , No , No , No , No , No 
117,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000018.png, Yes , No , No , No , No , No 
118,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000019.png, Yes , No , No , Yes , Yes , No 
119,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000020.png, Yes , No , No , No , No , No 
120,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000021.png, Yes , No , No , No , No , No 
121,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000022.png, Yes , No , No , No , No , No 
122,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000023.png, Yes , No , No , Yes , No , No 
123,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000024.png, Yes , No , No , No , No , No 
124,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000025.png, Yes , No , No , Yes , Yes , No 
125,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000026.png, Yes , No , No , No , No , No 
126,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000027.png, Yes , No , No , Yes , Yes , No 
127,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000028.png, Yes , No , No , Yes , Yes , No 
128,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000029.png, Yes , No , No , Yes , No , No 
129,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000030.png, Yes , No , No , Yes , No , No 
130,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000031.png, Yes , No , No , No , No , No 
131,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000032.png, Yes , No , No , No , No , No 
132,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000033.png, Yes , No , No , No , No , No 
133,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000034.png, Yes , No , No , No , No , No 
134,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000035.png, Yes , No , No , No , No , No 
135,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000036.png, Yes , No , No , No , No , No 
136,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000037.png, Yes , No , No , Yes , No , No 
137,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000038.png, Yes , No , Yes , No , No , No 
138,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000039.png, Yes , No , No , No , No , No 
139,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000040.png, Yes , No , No , No , No , No 
140,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000041.png, Yes , No , No , No , No , No 
141,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000042.png, Yes , No , Yes , No , No , No 
142,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000043.png, Yes , No , No , No , No , No 
143,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000044.png, Yes , No , No , No , No , No 
144,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000045.png, Yes , No , No , No , No , No 
145,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000046.png, Yes , No , No , No , No , No 
146,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000047.png, Yes , No , No , No , No , No 
147,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000048.png, Yes , No , No , Yes , No , No 
148,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000049.png, Yes , No , No , Yes , No , No 
149,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000050.png, Yes , No , No , No , No , No 
150,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000051.png, Yes , No , No , No , No , No 
151,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000052.png, Yes , No , No , No , No , No 
152,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000053.png, Yes , No , No , No , No , No 
153,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000054.png, Yes , No , No , No , No , No 
154,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000055.png, Yes , No , No , No , No , No 
155,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000056.png, Yes , No , No , No , No , No 
156,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000057.png, Yes , No , No , No , No , No 
157,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000058.png, Yes , No , No , No , No , No 
158,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000059.png, Yes , No , No , No , No , No 
159,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000060.png, Yes , No , No , Yes , Yes , No 
160,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000061.png, Yes , No , No , No , No , No 
161,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000062.png, Yes , No , No , No , No , No 
162,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000063.png, Yes , No , No , No , No , No 
163,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000064.png, Yes , No , No , Yes , No , No 
164,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000065.png, Yes , No , No , No , No , No 
165,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000066.png, Yes , No , No , Yes , No , No 
166,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000067.png, Yes , No , No , No , No , No 
167,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000068.png, Yes , No , No , No , No , No 
168,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000069.png, Yes , Yes , No , No , No , No 
169,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000070.png, Yes , No , No , Yes , Yes , No 
170,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000071.png, Yes , No , No , Yes , No , No 
171,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000072.png, Yes , No , No , No , No , No 
172,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000073.png, Yes , No , No , No , No , No 
173,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000074.png, Yes , No , No , No , No , No 
174,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000075.png, Yes , No , No , No , No , No 
175,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000076.png, Yes , No , No , No , No , No 
176,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000077.png, Yes , No , No , No , No , No 
177,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000078.png, Yes , No , No , Yes , Yes , No 
178,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000079.png, Yes , No , No , Yes , No , No 
179,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000080.png, Yes , No , No , No , No , No 
180,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000081.png, Yes , No , No , No , No , No 
181,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000082.png, Yes , Yes , No , No , No , No 
182,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000083.png, Yes , No , No , No , No , No 
183,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000084.png, Yes , No , No , No , No , No 
184,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000085.png, Yes , No , No , No , No , No 
185,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000086.png, Yes , No , No , No , No , No 
186,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000087.png, Yes , No , No , No , No , No 
187,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000088.png, Yes , No , No , No , No , No 
188,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000089.png, Yes , No , No , Yes , No , No 
189,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000090.png, Yes , No , No , No , No , No 
190,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000091.png, Yes , No , No , No , No , No 
191,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000092.png, Yes , No , No , Yes , No , No 
192,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000093.png, Yes , No , No , No , No , No 
193,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000094.png, Yes , No , No , No , No , No 
194,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000095.png, Yes , No , No , No , No , No 
195,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000096.png, Yes , No , No , Yes , No , No 
196,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000097.png, Yes , No , No , No , No , No 
197,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000098.png, Yes , No , No , No , No , No 
198,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000099.png, Yes , No , No , Yes , Yes , No 
199,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000100.png, Yes , No , No , Yes , Yes , No 
200,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000101.png, Yes , No , No , No , No , No 
201,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000102.png, Yes , No , No , No , No , No 
202,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000103.png, Yes , No , No , No , No , No 
203,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000104.png, Yes , No , No , No , No , No 
204,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000105.png, Yes , No , No , No , No , No 
205,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000106.png, Yes , No , No , Yes , No , No 
206,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000107.png, Yes , No , No , Yes , Yes , No 
207,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000108.png, Yes , No , No , No , No , No 
208,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000109.png, Yes , No , No , No , No , No 
209,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000110.png, Yes , No , No , No , No , No 
210,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000111.png, Yes , No , No , No , No , No 
211,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000112.png, Yes , No , No , No , No , No 
212,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000113.png, Yes , No , No , No , No , No 
213,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000114.png, Yes , No , No , No , No , No 
214,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000115.png, Yes , No , No , Yes , No , No 
215,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000116.png, Yes , No , No , No , No , No 
216,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000117.png, Yes , No , No , Yes , No , No 
217,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000118.png, Yes , No , No , No , No , No 
218,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000119.png, Yes , No , No , Yes , No , No 
219,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000120.png, Yes , No , No , Yes , No , No 
220,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000121.png, Yes , No , No , Yes , No , No 
221,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000122.png, Yes , No , No , No , No , No 
222,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000123.png, Yes , No , No , No , No , No 
223,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000124.png, Yes , No , No , Yes , No , No 
224,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000125.png, Yes , No , No , No , No , No 
225,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000126.png, Yes , No , No , No , No , No 
226,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000127.png, Yes , No , No , Yes , Yes , No 
227,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000128.png, Yes , No , No , No , No , No 
228,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000129.png, Yes , No , No , No , No , No 
229,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000130.png, Yes , No , No , Yes , Yes , No 
230,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000131.png, Yes , No , No , Yes , No , No 
231,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000132.png, Yes , No , No , No , No , No 
232,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000133.png, Yes , No , No , No , No , No 
233,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000134.png, Yes , No , No , No , No , No 
234,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000135.png, Yes , No , No , Yes , No , No 
235,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000136.png, Yes , No , No , Yes , No , No 
236,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000137.png, Yes , No , No , No , No , No 
237,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000138.png, Yes , No , No , No , No , No 
238,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000139.png, Yes , No , No , Yes , No , No 
239,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000140.png, Yes , No , No , No , No , No 
240,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000141.png, Yes , No , No , No , No , No 
241,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000142.png, Yes , No , No , No , No , No 
242,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000143.png, Yes , No , No , No , No , No 
243,Flickr2K,collocation-mturk/data_preprocessed/Flickr2K/000144.png, Yes , No , No , No , No , No 
